Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol,-log10P,Category
Gad1,130.0593275532074,5.476827081127047,0.36163285443968773,15.144716565127409,8.210784337361394e-52,2.956861629306852e-49,Gad1,51.085615354802854,DEG
Nkx6-1,121.02077859810763,5.474051504658696,0.5993139534339722,9.133862933264385,6.609770190916446e-20,3.563919083846748e-18,Nkx6-1,19.17981363984142,DEG
Aldh1a2,1455.179218883226,5.394836227079414,0.6423287796875018,8.39887048141303,4.50793690544283e-17,1.8804468368687292e-15,Aldh1a2,16.346022171110796,DEG
Lix1,96.78474532202301,5.258467133631445,0.3836686287032085,13.705752152332463,9.379032358346868e-43,2.2725626985320347e-40,Lix1,42.02784196579023,DEG
Xpnpep2,12.318111668077103,5.231663502432702,0.8092597975708653,6.4647515150714945,1.0146540119620158e-10,2.169292697796569e-09,Xpnpep2,9.993682023082368,DEG
Ntng1,23.825527794765982,5.149065172873954,2.0865777816522364,2.467708234100296,0.01359811048751698,0.06645500883547112,Ntng1,1.8665214344132681,DEG
Bpifb5,13.827150520695513,5.145294527637359,0.7567907524706948,6.798833773852965,1.0546942215203706e-11,2.542992154627709e-10,Bpifb5,10.976873433404212,DEG
Hoxb3os,33.95701977428692,5.075939847218115,0.8949485989355989,5.671766907345462,1.4133219095919498e-08,2.2244236133605777e-07,Hoxb3os,7.84975890847214,DEG
Krt15,18.80921590925055,5.061676156322493,2.01576080311922,2.511049995857632,0.01203726476482349,0.059863012012367475,Krt15,1.9194721868736258,DEG
Tnni1,25.557833316935607,5.034538955339497,0.863021725665464,5.833617863394383,5.423826220283168e-09,9.121741672012646e-08,Tnni1,8.265694233739284,DEG
Gadd45g,263.29443185790063,4.965670436377479,0.3000977946973687,16.54684081029343,1.687273914235831e-61,8.714547757302508e-59,Gadd45g,60.772814407757885,DEG
Gm13414,12.239822575239387,4.933942197175071,1.464725796144067,3.3685091162890806,0.0007557589768930302,0.005196322844628151,Gm13414,3.1216166855766043,DEG
Phlda1,218.03197958042517,4.916893845140825,0.3266322417625867,15.053302204975463,3.284229271379448e-51,1.1308408034162936e-48,Phlda1,50.48356653248459,DEG
