Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol,-log10P,Category
Prob1,169.89940822030488,2.3165370045600335,0.2909178375333677,7.962856537782189,1.6811233599063707e-15,1.229132230960928e-13,Prob1,14.774400417101313,DEG
Mmp25,736.3193757077232,2.310274021301401,0.1845960519561055,12.51529486584444,6.157877661296937e-36,3.166585956027595e-33,Mmp25,35.210568943485995,DEG
Aadat,83.66196599161,2.3091788790964354,0.30697051481453086,7.522477787456632,5.3747751142962175e-14,3.3166662275299098e-12,Aadat,13.269639702326481,DEG
Spta1,193.60441935390648,2.306185392644154,0.3391729324156634,6.799438198735377,1.050279068917703e-11,4.525881339718828e-10,Spta1,10.97869528951304,DEG
Sncb,47.237952039145625,2.304699355360441,0.41662388139633505,5.531846488578931,3.168771746514138e-08,7.362144839378555e-07,Sncb,7.499109042854365,DEG
Faim2,12.286926335907898,2.3032018727574277,0.9075309446799986,2.537876957539505,0.011152718760358449,0.0423652002191217,Faim2,1.9526192493251036,DEG
Timp4,79.15188420361514,2.297329377612816,0.4481243720645863,5.126544148957183,2.951088792180968e-07,5.432750214436252e-06,Timp4,6.53001772327737,DEG
Cyp26a1,760.1451713478873,2.270972542119813,0.6010749667685567,3.77818519764482,0.0001579753840497837,0.001284705455843971,Cyp26a1,3.8014105801608467,DEG
Myh3,18.2714313069573,2.260262908479313,0.5950396050551792,3.798508350162196,0.0001455695257980176,0.0012009096655005442,Myh3,3.836929532735754,DEG
Mapk15,15.214862316062627,2.2540746170604757,1.0811428048017286,2.0848999845805305,0.037078380084751984,0.10603650594101802,Mapk15,1.4308792479801071,DEG
Slc6a1,33.75071974229292,2.243486107037119,0.6255051525168497,3.586678859494582,0.0003349163693363652,0.002441755590620088,Slc6a1,3.475063625411101,DEG
Atcay,70.30942598180981,2.241486565204508,0.4412395574378201,5.07997646045228,3.774816392006852e-07,6.716735003401351e-06,Atcay,6.423104167710955,DEG
Cdh11,680.2998437127533,2.2267345149683506,0.48174387510518063,4.622237313307161,3.7962337118000973e-06,5.155325481684868e-05,Cdh11,5.420647058462684,DEG
Nefl,958.3878091895172,2.2148055114507184,0.1530307148938376,14.472947558189226,1.7960735600212797e-47,3.2812658943883076e-44,Nefl,46.74567588033179,DEG
Trim47,13.958748337464582,2.2126594048088335,0.8725268076464936,2.5359214014032885,0.011215190275225937,0.04248099714494647,Trim47,1.9501933538438603,DEG
Gm42463,12.01597032401835,2.211244507751585,1.007677346706992,2.194397358418102,0.02820685565495677,0.08628736113206782,Gm42463,1.5496453239053163,DEG
AI661453,67.16236087914302,2.2109089766157326,0.3593495030887512,6.152531052950108,7.625603444988055e-10,2.3717779101982e-08,AI661453,9.11772578313413,DEG
Scube2,25.417292791434804,2.2042214760441086,0.7193584390629743,3.064149047747734,0.0021829012555880088,0.011580336200122493,Scube2,2.6609659093312517,DEG
Wnt7b,24.42417280143921,2.2015103477419755,0.7836942810874228,2.8091443320056486,0.004967337154863056,0.022357151350627352,Wnt7b,2.303876361541474,DEG
Fgf15,480.10544922929364,2.2006047870552323,0.2726254963250531,8.071896490676856,6.921454323051911e-16,5.3388637920860924e-14,Fgf15,15.159802642809726,DEG
2610528J11Rik,33.01737777487277,2.1987121537753818,0.5206097225451164,4.223340553508083,2.407076801383374e-05,0.00026169114739211635,2610528J11Rik,4.618510052689289,DEG
Pla2g10,158.72524469010787,2.1969682974299887,0.2308928264946183,9.515099844304586,1.815384798798536e-21,2.61737769075374e-19,Pla2g10,20.74103130545862,DEG
Gfra1,38.36038468929043,2.1896625501696487,0.5859298822469582,3.737072671174583,0.0001861751282668036,0.001478190274715378,Gfra1,3.7300783382739264,DEG
Gm38042,15.859706170575016,2.182641375746062,0.7031534253926499,3.1040755785655842,0.0019087456530479027,0.01033563327117234,Gm38042,2.7192519389909036,DEG
Ttbk1,11.467486311341233,2.174786852257528,0.7292970208856028,2.9820317236681326,0.002863423260380773,0.014365783061349032,Ttbk1,2.5431144514679764,DEG
Tdgf1-ps1,100.03298169962677,2.170091401058598,0.29443144921862213,7.370447032128199,1.700568231138036e-13,9.609767802844866e-12,Tdgf1-ps1,12.769405938378556,DEG
Hsbp1l1,24.101813864438125,2.1577556005388163,0.5136447734917815,4.200871325664021,2.658896855071305e-05,0.0002844577100082179,Hsbp1l1,4.5752985096568555,DEG
4930519F16Rik,12.921648503286043,2.150914771028176,0.8328531488694174,2.5825858663655206,0.009806295636698202,0.03835525645262382,4930519F16Rik,2.0084950179375585,DEG
Gm40689,13.779894898549317,2.1402290419936354,0.5558833664737626,3.850140463043794,0.00011805010440394168,0.0010106320536290834,Gm40689,3.927933624493465,DEG
Fgf5,2859.9705746374902,2.135380449560344,0.17163585398434025,12.441342528322622,1.5586196978404847e-35,7.514008149557862e-33,Fgf5,34.80725983944717,DEG
Cdh9,41.07052179557117,2.1342204397607887,0.3984384101965147,5.356462592821222,8.486706043944642e-08,1.7764506667562279e-06,Cdh9,7.071260840324077,DEG
Arhgef19,19.222232717013252,2.128359908740069,0.542545552303376,3.922914674545062,8.748414054629936e-05,0.0007810288403980093,Arhgef19,4.0580706703777105,DEG
Derl3,72.68550549864153,2.120601069348751,0.3064915706741623,6.918953968894653,4.549906609415015e-12,2.0960220691080004e-10,Derl3,11.34199751750376,DEG
Enpp3,2084.301081549032,2.115950819030126,0.1497853231928954,14.126556420385583,2.6057836778313563e-45,3.541104294670963e-42,Enpp3,44.584061640589525,DEG
Rab25,235.41510553772972,2.115832428807652,0.25459020309181857,8.310737817529342,9.51088517643055e-17,7.931050033340223e-15,Rab25,16.021779061469584,DEG
Gm16196,21.038919634935603,2.1088328246456394,0.4816598728501877,4.378261390484478,1.1962981962227221e-05,0.00014229215322380826,Gm16196,4.922160552093318,DEG
Gm36371,12.095433140867284,2.1031879634129487,0.6616264537733013,3.1788148001312866,0.0014787854284982534,0.008411955311741355,Gm36371,2.8300948374835535,DEG
Gm47585,30.871462420685866,2.093326095036011,0.4824865409057332,4.338620702468463,1.4337973129866173e-05,0.00016656017430304628,Gm47585,4.843512237840469,DEG
Dbx2,17.352051758529402,2.0921915170850265,0.6445321700294526,3.246062205071039,0.0011701326853688738,0.006917893417904509,Dbx2,2.9317648893168418,DEG
Cxcl12,1431.5013557726002,2.0900412484085473,0.22104084551262082,9.455452649764732,3.2162735006103433e-21,4.510677390355979e-19,Cxcl12,20.492647027474764,DEG
Elavl3,59.18877597300962,2.0887205281397567,0.40065904747206604,5.213211934981657,1.8559864700811522e-07,3.6106309298791847e-06,Elavl3,6.731425194060321,DEG
Fbxo32,26.296904318526874,2.080075766809773,0.45506305762970817,4.570961610560712,4.854912241852896e-06,6.428903961808122e-05,Fbxo32,5.313818616059477,DEG
Lhx3,12.08949594924744,2.071017658990758,0.7141352802050668,2.900035492429469,0.003731204082838869,0.017749945278289592,Lhx3,2.4281509960337333,DEG
Rtn4rl1,158.01467089989598,2.064989455463006,0.2833635882341667,7.287419912810165,3.1594699915899745e-13,1.7284093461084585e-11,Rtn4rl1,12.50038576517696,DEG
mt-Tq,79.18311302462648,2.054711192756977,0.7492809189259501,2.742244118137005,0.006102097259641611,0.026214718581033455,mt-Tq,2.2145208745387377,DEG
2610509F24Rik,17.11616218570961,2.0441849394490883,0.5253782074586771,3.890882625941181,9.988024193871038e-05,0.0008754843706752757,2610509F24Rik,4.000520414333108,DEG
Tbx20,33.870576429175806,2.0403046254393127,0.7368973998081721,2.7687770725889944,0.005626712020602812,0.024667032208536395,Tbx20,2.249745311798838,DEG
Rbbp8nl,37.259797693502705,2.037481835704394,0.43321307506426204,4.703186383287617,2.561324018522905e-06,3.64180144089888e-05,Rbbp8nl,5.59153547793323,DEG
Myb,181.13752222590483,2.0373750161441424,0.2903647874738051,7.016604988054695,2.2732410517288183e-12,1.1028078523591346e-10,Myb,11.643354509772161,DEG
Ebf3,28.048409919937342,2.033826789713886,0.928248229963557,2.1910376169462062,0.028449070411189874,0.08690768499671805,Ebf3,1.5459319198448824,DEG
H3c11,11.615001984572714,2.032166939694713,0.5828709967272815,3.486478056216511,0.0004894255346633791,0.003387334106438739,H3c11,3.3103133760669605,DEG
Crnde,50.551139701839766,2.0296478036867596,0.43786933642325704,4.635281886295056,3.5645140041182495e-06,4.883637437081016e-05,Crnde,5.447999674709069,DEG
Bc1,17.900947840889913,2.0275183843252904,0.712442887751367,2.8458679554295268,0.004429055650953466,0.020359666724451466,Bc1,2.3536888627836174,DEG
Dcdc2a,18.697264381189154,2.017611766907356,0.8849363059838502,2.2799513968005023,0.02261057125223599,0.07277556492974016,Dcdc2a,1.645688465139831,DEG
F730043M19Rik,15.555951287184753,2.010835044969628,0.6259194049984127,3.212610168196858,0.001315346909617743,0.007642883907598087,F730043M19Rik,2.8809596912325506,DEG
Dnmt3b,18216.03865454947,2.0060903950731483,0.13975321020201562,14.354521031562072,9.9812709338083e-47,1.5398106669586065e-43,Dnmt3b,46.00081415566681,DEG
Gm4969,42.23158311479284,1.9982875356320022,0.4120317205506972,4.849839068121283,1.2356168315633807e-06,1.9203833592805425e-05,Gm4969,5.908116184374059,DEG
Tdgf1,3541.6263886055435,1.9975678776147094,0.2421317829998715,8.249920158626056,1.5850038510501096e-16,1.2869397057973704e-14,Tdgf1,15.799969678248893,DEG
Tbc1d30,17.13147458580302,1.9804303211186014,0.8608683773782478,2.3005030422303934,0.021419737132561664,0.06997930638374181,Tbc1d30,1.669185863223045,DEG
Kcnip4,16.754546515186107,1.9736065022148637,0.6763240653074007,2.918137330094599,0.0035212922915995224,0.01698123669349979,Kcnip4,2.453297923989697,DEG
Ppp1r14a,63.21592500622793,1.9661395747378614,0.37666211261556265,5.219902689667614,1.7901716678988682e-07,3.495820040591878e-06,Ppp1r14a,6.747105320502565,DEG
Lrp2,562.2392246730726,1.9569759102366504,0.24837843721371092,7.879008871260512,3.2998806970222936e-15,2.303495905563933e-13,Lrp2,14.481501761201352,DEG
H3c7,15.065202516315473,1.9565455905445306,0.6108175244825114,3.2031589011826878,0.0013592895747407048,0.007862677266413518,H3c7,2.8666880139699424,DEG
Slc27a2,1353.2432119014998,1.9536786064926501,0.1979896219318215,9.867580873331871,5.75354365436073e-23,1.0086354313161703e-20,Slc27a2,22.240064587397463,DEG
Snora78,11.996552762719212,1.9503735374429165,0.6170290574054549,3.160910355898053,0.0015727689400427943,0.008850489481290476,Snora78,2.803335076127668,DEG
Slc45a1,67.54067862346677,1.9488522721295143,0.36984517043483356,5.269373315969529,1.3689030797740043e-07,2.7144046030428743e-06,Slc45a1,6.863627299425822,DEG
Aff2,19.021397267494894,1.9468967516906017,0.7083427448662715,2.748523600757932,0.0059864325015145945,0.025842120780686074,Aff2,2.2228319099088147,DEG
Irs4,109.83978756782606,1.9465372057601982,0.4023584417336059,4.837818730416907,1.312717754811514e-06,2.0271568371849077e-05,Irs4,5.88182864078375,DEG
Frat2,23.84078327100431,1.9451468235863956,0.58827599578624,3.3065208125425496,0.0009446233283147645,0.005817446740882983,Frat2,3.0247413333376887,DEG
Sobp,18.406816711007536,1.9421593753158986,0.6730080529950165,2.885789206641603,0.003904335602646638,0.0184139973531121,Sobp,2.4084528590091168,DEG
H2ac20,13.001186968003724,1.9134780793903154,0.6416703784903716,2.9820265100783794,0.002863472023961125,0.014365783061349032,H2ac20,2.5431070555744553,DEG
Ednrb,153.7551799303324,1.9115986379636936,0.6753890945155538,2.8303664561460735,0.004649471651188798,0.021214847430609165,Ednrb,2.332596395929437,DEG
Fam131b,43.75257229207487,1.902833569811389,0.39485939412964793,4.81901557389974,1.4426829325753159e-06,2.1948983827257787e-05,Fam131b,5.840829106026039,DEG
